Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;i crept and I came ain-t no turnin back;ay k_r_eh_p_t ah_n_d ay k_ey_m ey_n_t n_ow t_er_n_iy_n b_ae_k
a;1;the music that I heard started at the sugar shack;dh_ah m_y_uw_z_ih_k dh_ae_t ay hh_er_d s_t_aa_r_t_ah_d ae_t dh_ah sh_uh_g_er sh_ae_k
a;3;cuz Tuck and Ro gon burn ya scalp;k_ah_z t_ah_k ah_n_d r_ow g_aa_n b_er_n y_aa s_k_ae_l_p
b;2;they crawl like snails and yell for help;dh_ey k_r_ao_l l_ay_k s_n_ey_l_z ah_n_d y_eh_l f_ao_r hh_eh_l_p
