Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;10 21; 
f;1;summary Two convicted murderers who escaped from a Florida prison may have;s_ah_m_er_iy t_uw k_ah_n_v_ih_k_t_ah_d m_er_d_er_er_z hh_uw ah_s_k_ey_p_t f_r_ah_m ah f_l_ao_r_ah_d_ah p_r_ih_z_ah_n m_ey hh_ae_v
a;2;paid someone thousands of dollars to create the forged release papers they;p_ey_d s_ah_m_w_ah_n th_aw_z_ah_n_d_z ah_v d_aa_l_er_z t_uw k_r_iy_ey_t dh_ah f_ao_r_jh_d r_iy_l_iy_s p_ey_p_er_z dh_ey
g;3;used to fool officials a law enforcement official said Joseph Jenkins and;y_uw_z_d t_uw f_uw_l ah_f_ih_sh_ah_l_z ah l_aa eh_n_f_ao_r_s_m_ah_n_t ah_f_ih_sh_ah_l s_eh_d jh_ow_s_ah_f jh_eh_ng_k_ah_n_z ah_n_d
b;4;Charles Walker were apprehended without incident at the Coconut Grove Motor;ch_aa_r_l_z w_ao_k_er w_er ae_p_r_ah_hh_eh_n_d_ah_d w_ih_th_aw_t ih_n_s_ah_d_ah_n_t ae_t dh_ah k_ow_k_ah_n_ah_t g_r_ow_v m_ow_t_er
h;5;inn in Panama City at approximately 5 40 p m Saturday the Florida Department;ih_n ih_n p_ae_n_ah_m_aa s_ih_t_iy ae_t ah_p_r_aa_k_s_ah_m_ah_t_l_iy ah_ae  p_iy eh_m s_ae_t_er_d_iy dh_ah f_l_ao_r_ah_d_ah d_ah_p_aa_r_t_m_ah_n_t
i;6;of Law Enforcement said They came out with their hands up in the air They knew;ah_v l_aa eh_n_f_ao_r_s_m_ah_n_t s_eh_d dh_ey k_ey_m aw_t w_ih_dh dh_eh_r hh_ae_n_d_z ah_p ih_n dh_ah eh_r dh_ey n_uw
c;7;when they saw it on the news their scheme was uncovered;w_eh_n dh_ey s_ao ih_t aa_n dh_ah n_y_uw_z dh_eh_r s_k_iy_m w_ah_z ah_n_k_ah_v_er_d
a;8;mj has better ball skill And (is) a over all good player He (is) just a play;eh_m_ae hh_ah_z b_eh_t_er b_ao_l s_k_ih_l ah_n_d ih_z ah ow_v_er ao_l g_uh_d p_l_ey_er hh_iy ih_z jh_ah_s_t ah p_l_ey
c;9;maker and kobe (is) a ball hog They both are not that good at football but;m_ey_k_er ah_n_d k_ow_b_ey ih_z ah b_ao_l hh_ah_g dh_ey b_ow_th aa_r n_ax_t dh_ae_t g_uh_d ae_t f_uh_t_b_ao_l b_ah_t
l;10;Larry (is) just a lil better than what ever his name (is) MGK and lamar are the;l_eh_r_iy ih_z jh_ah_s_t ah l_ih_l b_eh_t_er dh_ae_n w_ah_t eh_v_er hh_ih_z n_ey_m ih_z  ah_n_d l_ah_m_aa_r aa_r dh_ah
c;11;best to me there flows are not really not the same but they all said some;b_eh_s_t t_uw m_iy dh_eh_r f_l_ow_z aa_r n_ax_t r_ih_l_iy n_ax_t dh_ah s_ey_m b_ah_t dh_ey ao_l s_eh_d s_ah_m
m;12;thing about killing but they won-t do it;th_ih_ng ah_b_aw_t k_ih_l_ih_ng b_ah_t dh_ey w_ow_n_t d_uw ih_t
n;13;10 22; 
f;14;summary Kim Kardashian and Kanye West got engaged last night in front of;s_ah_m_er_iy k_ih_m k_aa_d_ih_sh_ey_n ah_n_d K_ah_n_iy_ax w_eh_s_t g_aa_t eh_n_g_ey_jh_d l_ae_s_t n_ay_t ih_n f_r_ah_n_t ah_v
o;15;friends and family at San Francisco-s AT amp T Park I dont know how he got;f_r_eh_n_d_z ah_n_d f_ae_m_ax_l_ih ae_t s_ae_n f_r_ae_n_s_ih_s_k_ow_z ae_t ae_m_p t_iy p_aa_r_k ay d_aa_n_b n_ow hh_aw hh_iy g_aa_t
b;16;her because hes so ugly I dont know;hh_er b_ih_k_ao_z hh_eh s_ow ah_g_l_iy ay d_aa_n_b n_ow
a;17;kobe has a great shot but james just a over all good player he can shot take;k_ow_b_ey hh_ah_z ah g_r_ey_t sh_aa_t b_ah_t jh_ey_m_z jh_ah_s_t ah ow_v_er ao_l g_uh_d p_l_ey_er hh_iy k_ah_n sh_aa_t t_ey_k
c;18;it to the hop ect A ($) AP and badas (*) flows are just so dope and they are some;ih_t t_uw dh_ah hh_aa_p eh_k_t ah ah_ae  ah_n_d b_aa_d_ah_z ah_ae f_l_ow_z aa_r jh_ah_s_t s_ow d_ow_p ah_n_d dh_ey aa_r s_ah_m
d;19;what a like;w_ah_t ah l_ay_k
p;20;blacks love drums and Hispanics like piano and Spanish words over there song;b_l_ae_k_s l_ah_v d_r_ah_m_z ah_n_d hh_ah_s_p_ae_n_ih_k_s l_ay_k p_ih_ae_n_ow ah_n_d s_p_ae_n_ih_sh w_er_d_z ow_v_er dh_eh_r s_ao_ng
d;21;white people like;w_ay_t p_iy_p_ah_l l_ay_k
q;22;10 23; 
a;23;summary we didn-t do it that day;s_ah_m_er_iy w_iy d_ih_d_n_t d_uw ih_t dh_ae_t d_ey
e;24;10 24; 
c;25;summary;s_ah_m_er_iy
