Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;9 23 2013;ah_ae  
a;1;summary Star wars a new hope Just like the rest of the trilogy books they;s_ah_m_er_iy s_t_aa_r w_ao_r_z ah n_y_uw hh_ow_p jh_ah_s_t l_ay_k dh_ah r_eh_s_t ah_v dh_ah t_r_ih_l_ah_jh_iy b_uh_k_s dh_ey
b;2;are not that good in the first place So I don-t know why I even read the dang;aa_r n_ax_t dh_ae_t g_uh_d ih_n dh_ah f_er_s_t p_l_ey_s s_ow ay d_ow_n_t n_ow w_ay ay iy_v_ah_n r_iy_d dh_ah d_ae_ng
f;3;book in the first place they are leaving a fire fight in space to get to;b_uh_k ih_n dh_ah f_er_s_t p_l_ey_s dh_ey aa_r l_iy_v_ih_ng ah f_ay_er f_ay_t ih_n s_p_ey_s t_uw g_eh_t t_uw
g;4;another plant But the ship (is) braking down and they might not make it Tune;ah_n_ah_dh_er p_l_ae_n_t b_ah_t dh_ah sh_ih_p ih_z b_r_ey_k_ih_ng d_aw_n ah_n_d dh_ey m_ay_t n_ax_t m_ey_k ih_t t_uw_n
b;5;in next time to see what happens;ih_n n_eh_k_s_t t_ay_m t_uw s_iy w_ah_t hh_ae_p_ah_n_z
h;7;9 24 2013;ah_ae  
c;8;summary kenyan forces shooting about 10 to 15 Somali Terror Group tuck over;s_ah_m_er_iy k_eh_n_y_ah_n f_ao_r_s_ah_z sh_uw_t_ih_ng ah_b_aw_t  t_uw  s_ah_m_aa_l_iy t_eh_r_er g_r_uw_p t_ah_k ow_v_er
i;9;a mall in kenya and had 100 hostages Like 50 people were killed Americans;ah m_ao_l ih_n k_eh_n_y_ax ah_n_d hh_ae_d  hh_aa_s_t_ih_jh_ah_z l_ay_k  p_iy_p_ah_l w_er k_ih_l_d ah_m_eh_r_ah_k_ah_n_z
a;10;and other people form other countrys They did this for African polities they;ah_n_d ah_dh_er p_iy_p_ah_l f_ao_r_m ah_dh_er k_ah_n_t_r_iy_z dh_ey d_ih_d dh_ih_s f_ao_r ae_f_r_ih_k_ah_n p_aa_l_ah_t_iy_s dh_ey
l;11;wanted the Somalian wanted the kenyan people out of there country;w_oh_n_t_ih_d dh_ah s_ah_m_aa_l_y_ah_n w_oh_n_t_ih_d dh_ah k_eh_n_y_ah_n p_iy_p_ah_l aw_t ah_v dh_eh_r k_ah_n_t_r_iy
m;13;9 25 2013;ah_ae  
c;14;summary Change We can Believe In by Barack Obama For about a decade ago;s_ah_m_er_iy ch_ey_n_jh w_iy k_ah_n b_ah_l_iy_v ih_n b_ay B_ah_r_ae_k_k O_b_ae_m_ax f_ao_r ah_b_aw_t ah d_eh_k_ey_d ah_g_ow
n;15;america has lacked a lot in leadership Yes our economy (is) about (as) bad (as);ah_m_eh_r_ah_k_ah hh_ah_z l_ae_k_t ah l_aa_t ih_n l_iy_d_er_sh_ih_p y_eh_s aw_r ih_k_oh_n_ax_m_ih ih_z ah_b_aw_t eh_z b_ae_d ae_z
d;16;the leadership and the skills are lacking majority American families are;dh_ah l_iy_d_er_sh_ih_p ah_n_d dh_ah s_k_ih_l_z aa_r l_ae_k_ih_ng m_ah_jh_ao_r_ah_t_iy ah_m_eh_r_ah_k_ah_n f_ae_m_ax_l_ih_z aa_r
b;17;living with a health care system that costs more delivers less and bankrupts;l_ih_v_ih_ng w_ih_dh ah hh_eh_l_th k_eh_r s_ih_s_t_ah_m dh_ae_t k_aa_s_t_s m_ao_r d_ah_l_ih_v_er_z l_eh_s ah_n_d b_ae_ng_k_r_ah_p_t_s
d;18;families and businesses schools that fail to provide opportunity to too many;f_ae_m_ax_l_ih_z ah_n_d b_ih_z_n_ah_s_ah_z s_k_uw_l_z dh_ae_t f_ey_l t_uw p_r_ah_v_ay_d aa_p_er_t_uw_n_ah_t_iy t_uw t_uw m_eh_n_iy
e;19;of our children;ah_v aw_r ch_ih_l_d_r_ah_n
