Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;103;peanut Butter;p_iy_n_ah_t b_ah_t_er
a;104;peanut Butter;p_iy_n_ah_t b_ah_t_er
a;105;peanut Butter;p_iy_n_ah_t b_ah_t_er
cc;107;let me get another track DJ;l_eh_t m_iy g_eh_t ah_n_ah_dh_er t_r_ae_k 
e;108;watch me shake;w_aa_ch m_iy sh_ey_k
e;109;yeah All the brothers want to eat this cake;y_ae ao_l dh_ah b_r_ah_dh_er_z w_aa_n_t t_uw iy_t dh_ih_s k_ey_k
g;110;let me show you how to instigate;l_eh_t m_iy sh_ow y_uw hh_aw t_uw ih_n_s_t_ah_g_ey_t
dd;111;let me hear you jave me shoot where my dude;l_eh_t m_iy hh_ih_r y_uw jh_aa_v_ah_ae m_iy sh_uw_t w_eh_r m_ay d_uw_d
c;112;rupaul;r_uw_p_aa_l
ee;113;look out what you gonna do mama knows lovings too;l_uh_k aw_t w_ah_t y_uw g_aa_n_ah d_uw m_aa_m_ah n_ow_z l_ah_v_ih_ng_z t_uw
d;114;rupaul paul paul;r_uw_p_aa_l p_ao_l p_ao_l
ff;115;whats your name my name (is) kalbe;w_ah_t_s y_ao_r n_ey_m m_ay n_ey_m ih_z k_ae_l_b_er
gg;117;p nah P nah P Nah P nah P nah P Nah PPPP;p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa 
c;118;p nah P nah P Nah P Nah P Nah;p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa
a;119;peanut Butter;p_iy_n_ah_t b_ah_t_er
hh;120;p nah P nah P Nah P nah P nah P Nah PPPP;p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa 
c;121;p nah P nah P Nah P Nah P Nah;p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa
a;122;peanut Butter;p_iy_n_ah_t b_ah_t_er
ii;123;p nah P nah P Nah P nah P nah P Nah PPPP;p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa 
c;124;p nah P nah P Nah P Nah P Nah;p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa
a;125;peanut Butter;p_iy_n_ah_t b_ah_t_er
l;126;p nah P nah P Nah P nah P nah P Nah PPPP;p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa 
c;127;p nah P nah P Nah P Nah P Nah;p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa
a;128;peanut Butter;p_iy_n_ah_t b_ah_t_er
a;129;peanut Butter;p_iy_n_ah_t b_ah_t_er
a;130;peanut Butter;p_iy_n_ah_t b_ah_t_er
