Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;hit me on that late night tip;hh_ih_t m_iy aa_n dh_ah_t l_ey_t n_ay_t t_ih_p
b;1;just a little after midnight uh;jh_ah_s_t ey l_ih_t_ah_l ae_f_t_er m_ih_d_n_ay_t ah
c;2;she be hitting me on some late night shit;sh_iy b_iy hh_ih_t_ih_ng m_iy aa_n s_ah_m l_ey_t n_ay_t sh_iy_t
b;3;after hitting me up to get right uh;ae_f_t_er hh_ih_t_ih_ng m_iy ah_p t_uw g_eh_t r_ay_t ah
b;4;on some late night shit little after midnight uh;aa_n s_ah_m l_ey_t n_ay_t sh_iy_t l_ih_t_ah_l ae_f_t_er m_ih_d_n_ay_t ah
c;5;she be creeping on some late night shit;sh_iy b_iy k_r_iy_p_ih_ng aa_n s_ah_m l_ey_t n_ay_t sh_iy_t
b;6;she just out tryna get right uh;sh_iy jh_ah_s_t aw_t t_r_ih_n_ah g_eh_t r_ay_t ah
d;7;she just out to get pipe no delays;sh_iy jh_ah_s_t aw_t t_uw g_eh_t p_ay_p n_ow d_ah_l_ey_z
d;8;on my way right now bitch Im on my way;aa_n m_ay w_ey r_ay_t n_aw b_ih_ch ay_m aa_n m_ay w_ey
a;9;hit me on that late night tip;hh_ih_t m_iy aa_n dh_ae_t l_ey_t n_ay_t t_ih_p
a;10;hit you with that late night dick;hh_ih_t y_uw w_ih_dh dh_ae_t l_ey_t n_ay_t d_ih_k
e;11;know I won-t trip let me slip em off;n_ow ay w_ow_n_t t_r_ih_p l_eh_t m_iy s_l_ih_p eh_m ao_f
e;12;shawty we could do it all never taking off;t_iy w_iy k_uh_d d_uw ih_t ao_l n_eh_v_er t_ey_k_ih_ng ao_f
f;13;we could ball till we fall till the;w_iy k_uh_d b_ao_l t_ih_l w_iy f_aa_l t_ih_l dh_ah
b;14;motherfucking sun come back up;m_ah_dh_er_ha_f_ah_k_ih_ng s_ah_n k_ah_m b_ae_k ah_p
b;16;she only call me after 12 when Im picking up;sh_iy ow_n_l_iy k_ao_l m_iy ae_f_t_er  w_eh_n ay_m p_ih_k_ih_ng ah_p
b;17;she know how to get it up she can-t get enough;sh_iy n_ow hh_aw t_uw g_eh_t ih_t ah_p sh_iy k_ae_n_t g_ih_t iy_n_ah_f
g;18;when that clock strike 12;hh_w_ih_n dh_ah_t k_l_aa_k s_t_r_ay_k 
h;19;i be waiting for her phone call rolling up a L;ay b_iy w_ey_t_ih_ng f_r_er hh_er f_ow_n k_ao_l r_ow_l_ih_ng ah_p ey eh_l
i;20;so you can get your mind right;s_ow y_uw k_ae_n g_ih_t y_uh_r m_ay_n_d r_ay_t
e;21;she just my type and she keep it tight aw;sh_iy jh_ah_s_t m_ay t_ay_p ah_n_d sh_iy k_iy_p ih_t t_ay_t ao
b;23;Till the motherfucking bus come;t_ih_l dh_ah m_ah_dh_er_ha_f_ah_k_ih_ng b_ah_s k_ah_m
b;24;and you yelling to the tip top of your lungs;ah_n_d y_uw y_eh_l_ih_ng t_uw dh_ah t_ih_p t_aa_p ah_v y_ao_r l_ah_ng_z
l;25;when you motherfucking bust one oh;w_eh_n y_uw m_ah_dh_er_ha_f_ah_k_ih_ng b_ah_s_t w_ah_n ow
e;26;keep in mind you fucking with a boss;k_iy_p ih_n m_ay_n_d y_uw f_ah_k_ih_ng w_ih_dh ah b_ao_s
e;27;so what you waiting for Gon slip em off;s_ow hh_w_ah_t y_uw w_ey_t_ih_ng f_r_er G_oh_n s_l_ih_p eh_m ao_f
f;28;right now;r_ay_t n_aw
