Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;im growin up around ya know;ay_m g_r_ow_iy_n ah_p er_aw_n_d y_aa n_ow
h;1;all these older guy-s older than me;ao_l dh_iy_z ow_l_d_er g_ay_z ow_l_d_er dh_ae_n m_iy
a;2;and I see them doin it ya know;ah_n_d ay s_iy dh_eh_m d_uw_iy_n ih_t y_aa n_ow
a;3;so I think its cool so you know;s_ow ay th_ih_ng_k ih_t_s k_uw_l s_ow y_uw n_ow
a;4;my momma ya know she wasn-t able to give me everything I wanted ya know;m_ay m_aa_m_ah y_aa n_ow sh_iy w_oh_z_n_t ey_b_ah_l t_uw g_ih_v m_iy eh_v_r_iy_th_ih_ng ay w_oh_n_t_ih_d y_aa n_ow
b;5;far (as) clothing wise and ya know tennis shoe-s wise;f_aa_r ae_z k_l_ow_dh_ih_ng w_ay_z ah_n_d y_aa n_ow t_eh_n_ih_s sh_uw_z w_ay_z
a;6;so I saw them out there gettin it So you know;s_ow ay s_ao dh_eh_m aw_t dh_eh_r s_eh_t_iy_n ih_t s_ow y_uw n_ow
i;7;they put it in my head like you know I could get it too;dh_ey p_uh_t ih_t ih_n m_ay hh_eh_d l_ay_k y_uw n_ow ay k_uh_d g_eh_t ih_t t_uw
c;8;you know that fast money;y_uw n_ow dh_ae_t f_ae_s_t m_ah_n_iy
a;9;i can-t not be talkin about it but you know;ay k_ae_n_t n_ax_t b_iy t_aa_k_ah_n ah_b_aw_t ih_t b_ah_t y_uw n_ow
d;11;went from smoking blunts ya know what Im sayin;w_eh_n_t f_r_ah_m s_m_ow_k_ih_ng b_l_ah_n_t_s y_aa n_ow w_ah_t ay_m s_ey_iy_n
c;13;cell phones Boost mobiles got me turnt up;s_eh_l f_ow_n_z b_uw_s_t m_ow_b_ah_l_z g_aa_t m_iy t_er_n_b ah_p
d;14;candy paint blowin candy dank swishers aren-t the same;k_ae_n_d_iy p_ey_n_t b_l_ow_iy_n k_ae_n_d_iy d_ae_ng_k s_w_ih_sh_er_z aa_n_t dh_ah s_ey_m
a;15;drip low money dead low thats why I smoke;d_r_ih_p l_ow m_ah_n_iy d_eh_d l_ow dh_ae_t_s w_ay ay s_m_ow_k
i;16;skin tone foreign redbones foreign mac-s too;s_k_ih_n t_ow_n f_ao_r_ah_n r_eh_d_b_ow1_n_s f_ao_r_ah_n m_ae_k_s t_uw
e;17;shoot a niggas bitch through the back here;sh_uw_t ah n_ae_s b_ih_ch th_r_uw dh_ah b_ae_k hh_ih_r
f;18;im so positive Ill rob your hoe and go and cash out;ay_m s_ow p_aa_z_ah_t_ih_v ay_l r_aa_b y_ao_r hh_ow ah_n_d g_ow ah_n_d k_ae_sh aw_t
f;19;drop a couple one-s on her titties then I peel out;d_r_aa_p ah k_ah_p_ah_l w_ah_n_z aa_n hh_er t_ih_t_t_ay_s dh_eh_n ay p_iy_l aw_t
f;20;Rob a shawty got a young nigga steezed out;r_aa_b ah t_iy g_aa_t ah y_ah_ng n_ih_g_ae s_t_e_z_er_d aw_t
g;21;gave me hella jewels got me feelin real like Jesus;g_ey_v m_iy hh_eh_l_ae jh_uw_ah_l_z g_aa_t m_iy f_iy_l_iy_n r_iy_l l_ay_k jh_iy_z_ah_s
g;22;make her roll the weed up smokin amnesia;m_ey_k hh_er r_ow_l dh_ah w_iy_d ah_p s_m_ow_iy_n ae_m_n_iy_zh_ah
e;23;bitch Im slugged up call me gold mouth princess;b_ih_ch ay_m s_l_ah_g_d ah_p k_ao_l m_iy g_ow_l_d m_aw_th p_r_ih_n_s_eh_s
e;24;smiling with the TEC gave me neck in the igloo;s_m_ay_l_ih_ng w_ih_dh dh_ah t_eh_k g_ey_v m_iy n_eh_k ih_n dh_ah ih_g_l_uw
e;25;iced out igloo;ay_s_t aw_t ih_g_l_uw
a;27;im growin up around ya know;ay_m g_r_ow_iy_n ah_p er_aw_n_d y_aa n_ow
h;28;all these older guy-s older than me;ao_l dh_iy_z ow_l_d_er g_ay_z ow_l_d_er dh_ae_n m_iy
a;29;and I see them doin it ya know;ah_n_d ay s_iy dh_eh_m d_uw_iy_n ih_t y_aa n_ow
a;30;so I think its cool so you know;s_ow ay th_ih_ng_k ih_t_s k_uw_l s_ow y_uw n_ow
a;31;my momma ya know she wasn-t able to give me everything I wanted ya know;m_ay m_aa_m_ah y_aa n_ow sh_iy w_oh_z_n_t ey_b_ah_l t_uw g_ih_v m_iy eh_v_r_iy_th_ih_ng ay w_oh_n_t_ih_d y_aa n_ow
b;32;far (as) clothing wise and ya know tennis shoe-s wise;f_aa_r ae_z k_l_ow_dh_ih_ng w_ay_z ah_n_d y_aa n_ow t_eh_n_ih_s sh_uw_z w_ay_z
a;33;so I saw them out there gettin it So you know;s_ow ay s_ao dh_eh_m aw_t dh_eh_r s_eh_t_iy_n ih_t s_ow y_uw n_ow
i;34;they put it in my head like you know I could get it too;dh_ey p_uh_t ih_t ih_n m_ay hh_eh_d l_ay_k y_uw n_ow ay k_uh_d g_eh_t ih_t t_uw
c;35;you know that fast money;y_uw n_ow dh_ae_t f_ae_s_t m_ah_n_iy
a;36;i can-t not be talkin about it but you know;ay k_ae_n_t n_ax_t b_iy t_aa_k_ah_n ah_b_aw_t ih_t b_ah_t y_uw n_ow
h;38;went from smoking blunts ya know what Im (sayin-);w_eh_n_t f_r_ah_m s_m_ow_k_ih_ng b_l_ah_n_t_s y_aa n_ow w_ah_t ay_m s_ey_iy_n_eh
