Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;0;9 16 2013;ah_ae  
d;1;yahoo sports Mayweather;y_aa_hh_uw s_p_ao_r_t_s m_ey_w_eh_dh_er
a;2;summary Maywether may have won the fight But hes not better than Alvarez;s_ah_m_er_iy M_ah_ih_w_er_th_ax_r m_ey hh_ae_v w_ah_n dh_ah f_ay_t b_ah_t hh_iy_s n_ax_t b_eh_t_er dh_ah_n ae_l_v_er_eh_z
a;3;should have won that fight but the stupid judge-s gave it to maywether Sad;sh_uh_d hh_ae_v w_ah_n dh_ae_t f_ay_t b_ah_t dh_ah s_t_uw_p_ah_d jh_ah_jh_ah_z g_ey_v ih_t t_uw m_ah_ih_w_er_th_ax_r s_ae_d
b;4;lose for for him but I respect for both but maywether ran in hes fight so hes;l_uw_z f_r_er f_ao_r hh_ih_m b_ah_t ay r_ih_s_p_eh_k_t f_ao_r b_ow_th b_ah_t m_ah_ih_w_er_th_ax_r r_ae_n ih_n hh_eh f_ay_t s_ow hh_eh
e;5;a lil girl;ah l_ih_l g_er_l
f;6;9 17;ah_ae 
g;7;summary;s_ah_m_er_iy
h;8;9 18 2013;ah_ae  
i;9;tiger woods;t_ay_g_er w_uh_d_z
b;10;summary I looked at photos of tiger woods on all the things hes done in hes;s_ah_m_er_iy ay l_uh_k_t ae_t f_ow_t_ow_z ah_v t_ay_g_er w_uh_d_z aa_n ao_l dh_ah th_ih_ng_z hh_eh d_ah_n ih_n hh_eh
l;11;life;l_ay_f
m;12;brett Favre Americas quarterback;b_r_eh_t f_ey_v_er ah_m_eh_r_ah_k_ah_z k_w_oh_r_t_ax_b_ae_k
a;13;summary brett facre quarterback for the green bay packers (is) a out standing;s_ah_m_er_iy b_r_eh_t f_r_er k_w_oh_r_t_ax_b_ae_k f_ao_r dh_ah g_r_iy_n b_ey p_ae_k_er_z ih_z ah aw_t s_t_ae_n_d_ih_ng
g;14;qb Will all QB are good but he just put in more work than others Because he;k_y_uw_b w_ah_l ao_l  aa_r g_uh_d b_ah_t hh_iy jh_ah_s_t p_uh_t ih_n m_ao_r w_er_k dh_ae_n ah_dh_er_z b_ih_k_ao_z hh_iy
n;15;tuck hes team to the supper bowl a Few years ago;t_ah_k hh_eh t_iy_m t_uw dh_ah s_ah_p_er b_ow_l ah f_y_uw y_ih_r_z ah_g_ow
c;16;9;ah_ae
